a52dec 0.7.4-11
aalib 1.4rc5-14
accerciser 3.38.0-3
accountsservice 22.07.4-1
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
alacritty 0.10.0-2
alsa-card-profiles 1:0.3.47-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
amtk 5.3.1-1
aom 3.3.0-1
apache 2.4.52-1
appstream 0.15.1-2
appstream-glib 0.7.18-2
apr 1.7.0-3
apr-util 1.6.1-9
archlinux-keyring 20220125-1
argon2 20190702-4
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audit 3.0.7-1
autoconf 2.71-1
autoconf-archive 1:2022.02.11-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
babl 0.1.88-2
baobab 41.0-1
base 2-2
bash 5.1.016-1
bc 1.07.1-4
bcg729 1.1.1-1
binutils 2.38-3
bison 3.8.2-1
blas 3.10.0-1
bleachbit 4.4.2-2
bluez 5.63-2
bluez-libs 5.63-2
bolt 0.9.2-1
boost-libs 1.78.0-1
box2d 2.4.1-1
bridge-utils 1.7.1-1
brltty 6.4-9
brotli 1.0.9-7
btrfs-progs 5.16.2-1
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.75-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
canon-pixma-mg2500-complete 4.00-2
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
cdrtools 3.02a09-5
celt 0.11.3-4
ceph-libs 15.2.14-5
cheese 41.1-2
chromaprint 1.5.1-2
chrome-gnome-shell 10.1-6
cifs-utils 6.14-1
clang 13.0.1-1
clucene 2.3.3.4-11
clutter 1.26.4-1
clutter-gst 3.0.27-3
clutter-gtk 1.8.4-2
cmake 3.22.2-1
cmark 0.30.2-1
code 1.64.2-1
cogl 1.22.8-1
colord 1.4.6-1
colord-gtk 0.3.0-1
colord-gtk-common 0.3.0-1
colord-sane 1.4.6-1
compiler-rt 13.0.1-1
coreutils 9.0-2
cpio 2.13-2
cracklib 2.9.7-2
cronie 1.5.7-2
cryptsetup 2.4.3-2
ctags 1:5.9.20210905.0-1
cups 1:2.4.1-1
cups-filters 1.28.12-1
cups-pk-helper 0.2.6-4
curl 7.81.0-2
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
dconf-editor 3.38.3-1
desktop-file-utils 0.26-1
devhelp 41.2-3
device-mapper 2.03.15-1
dhclient 4.4.2.P1-4
diffutils 3.8-1
djvulibre 3.5.28-3
dleyna-connector-dbus 0.4.1-1
dleyna-core 0.7.0-3
dleyna-renderer 0.7.2-1
dleyna-server 0.7.2-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-2
dotconf 1.3-6
double-conversion 3.2.0-1
dpkg 1.21.1-1
dtc 1.6.1-4
e2fsprogs 1.46.5-3
edk2-ovmf 202111-5
efibootmgr 17-2
efivar 38-2
egl-wayland 2:1.1.9+r3+g582b2d3-1
eglexternalplatform 1.1-2
electron13 13.6.8-3
elfutils 0.186-5
emacs 27.2-1
enchant 2.3.2-1
eog 41.1-2
epiphany 41.3-2
evince 41.3-1
evolution 3.42.4-1
evolution-data-server 3.42.4-2
exempi 2.6.1-1
exiv2 0.27.5-1
expat 2.4.4-1
faac 1.30-3
faad2 2.10.0-1
fakeroot 1.27-1
fd 8.3.2-1
feh 3.8-2
ffmpeg 2:5.0-4
ffmpeg4.4 4.4.1-4
fftw 3.3.10-2
file 5.41-1
file-roller 3.40.0-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 97.0.1-1
five-or-more 3.32.2-1
flac 1.3.3-3
flameshot 11.0.0-4
flatpak 1.12.5-1
flex 2.6.4-3
fltk 1.3.8-1
fluidsynth 2.2.5-1
fmt 8.1.1-1
folks 0.15.4-1
fontconfig 2:2.13.96-1
foomatic-db 3:20211116-1
foomatic-db-engine 4:20200206-1
foomatic-db-gutenprint-ppds 5.3.4-1
four-in-a-row 3.38.1-1
freerdp 2:2.5.0-2
freetds 1.3.9-1
freetype2 2.11.1-1
frei0r-plugins 1.7.0-2
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
gavl 1.4.0-5
gawk 5.1.1-1
gc 8.2.0-2
gcab 1.4-1
gcc 11.2.0-3
gcc-libs 11.2.0-3
gcr 3.41.0-1
gd 2.3.3-3
gdb 11.2-1
gdb-common 11.2-1
gdbm 1.23-1
gdk-pixbuf2 2.42.6-2
gdm 41.3-2
geary 1:40.0-6
gedit 41.0-1
gegl 0.4.34-2
geoclue 2.5.7-4
geocode-glib 3.26.2+r9+g6047da3-1
gettext 0.21-1
gfbgraph 0.2.5-1
ghc-libs 9.0.2-1
ghex 3.41.1-1
ghostscript 9.55.0-4
giflib 5.2.1-2
git 2.35.1-1
gjs 2:1.70.1-2
glade 3.38.2-3
glib-networking 1:2.70.1-1
glib2 2.70.4-1
glib2-docs 2.70.4-1
glibc 2.35-2
glibmm 2.66.2-1
glslang 11.7.1-3
gmime3 3.2.7-1
gmp 6.2.1-1
gnome-autoar 0.4.2-1
gnome-backgrounds 41.0-1
gnome-bluetooth 3.34.5-2
gnome-books 40.0-1
gnome-boxes 41.3-1
gnome-builder 41.3-2
gnome-calculator 41.1-1
gnome-calendar 41.2+r5+g2222a4ee-1
gnome-characters 41.0-1
gnome-chess 41.1-1
gnome-clocks 41.0-1
gnome-code-assistance 2:3.16.1+14+gaad6437-2
gnome-color-manager 3.36.0+r24+ge7eb7b53-1
gnome-connections 41.2-1
gnome-contacts 41.0-2
gnome-control-center 41.4-1
gnome-desktop 1:41.3-1
gnome-devel-docs 40.3-1
gnome-disk-utility 41.0-1
gnome-documents 3.34.0+34+g678141fa-1
gnome-epub-thumbnailer 1.6-2
gnome-font-viewer 41.0-1
gnome-games 40.0-2
gnome-keyring 1:40.0-1
gnome-klotski 3.38.2-1
gnome-logs 3.36.0-1
gnome-mahjongg 3.38.3-1
gnome-maps 41.4-1
gnome-menus 3.36.0-1
gnome-mines 40.1-1
gnome-multi-writer 3.32.1-2
gnome-music 1:41.0-2
gnome-nettool 3.8.1+205+g8550eef-3
gnome-nibbles 3.38.2-1
gnome-online-accounts 3.40.1-1
gnome-online-miners 3.34.0-2
gnome-photos 40.0+14+g884b1fd1-1
gnome-recipes 2.0.4-2
gnome-remote-desktop 41.2-1
gnome-robots 40.0-1
gnome-screenshot 41.0-1
gnome-session 41.3-1
gnome-settings-daemon 41.0-2
gnome-shell 1:41.4-1
gnome-shell-extensions 41.2-1
gnome-software 41.4-1
gnome-sound-recorder 40.0-1
gnome-sudoku 40.2-1
gnome-system-monitor 41.0-1
gnome-taquin 3.38.1-1
gnome-terminal-transparency 3.42.1-1
gnome-tetravex 3.38.2-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnome-todo 41.0+r69+ga9a5b7cd-1
gnome-tweaks 40.0-2
gnome-usage 3.38.1-1
gnome-user-docs 41.2-1
gnome-user-share 3.34.0-2
gnome-video-effects 0.5.0+4+g9554041-2
gnome-weather 41.0-1
